Region,Year,territory_code,population,log_population,area_km2,density,log_density,gdp,log_gdp,gdp_per_capita,log_gdp_per_capita,tourism_arrivals,log_tourism_arrivals,tourism_nightspent,log_tourism_nightspent,HPI_average,log_HPI_average,Observation_Disp_Income,log_Observation_Disp_Income,Observation_Average_Monthly_Exp,log_Observation_Average_Monthly_Exp,Observation_CPI_housing,log_Observation_CPI_housing,Observation_Income_Percentage,foreign_pc_avg,crime_avg,coastal_dummy,z_tourism,z_crime,AmenityIndex,Post
Abruzzo,2021,ITF1,1281012,14.0631609485165,10831.7158,118.264919764605,4.77292719078397,33100.8,10.4073127302574,25839.5705895027,10.1596623397052,891648,13.7008267148456,2835886,14.857864968365,748.673850574713,6.61830344218715,21525.7,9.97700284909236,261,5.56452040732269,109.9,4.69957086140958,12,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,1
Abruzzo,2022,ITF1,1275950,14.0592015571661,10831.7158,117.797588448545,4.76896779943362,34957.6,10.4618911775274,27397.311806889,10.2182001783255,1130109,13.9378246462135,3453385,15.0548654674055,748.540229885057,6.61812494975677,22880.9,10.0380577803844,273,5.60947179518496,155.3,5.04535873015464,11.3,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,1
Abruzzo,2023,ITF1,1272627,14.0565938259631,10831.7158,117.490804180811,4.76636006823059,35692.1,10.4826846547644,28046.0024814812,10.2416013867656,1208561,14.0049409536483,3623081,15.1028353267899,753.721264367816,6.62502262375622,24394.5,10.1021129760366,283,5.64544689764324,159.2,5.07016127341028,11.1,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,1
Abruzzo,2024,ITF1,1269571,14.0541896060935,10831.7158,117.20866974741,4.76395584836098,NA,NA,NA,NA,1222376,14.0163070636938,3704928,15.1251743833251,762.011271559972,6.6359613476507,NA,NA,249,5.51745289646471,146.7,4.98838968514894,9,0.385869877049303,3073.3,1,-1.02074748895092,-0.499759406761664,0.479011917810748,1
Basilicata,2011,ITF5,580790,13.2721445247136,10073.1105,57.6574634021934,4.05451969891155,11293.6,9.33199147256999,19445.2383822036,9.87535750582062,464869,13.0495109244487,1699541,14.3458687725699,712.614087301587,6.5689400218531,7505.9,8.92344465693103,224,5.41164605185504,NA,NA,10.8,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,0
Basilicata,2012,ITF5,579360,13.2696793249995,10073.1105,57.5155012942626,4.05205449919737,10972.6,9.30315653521418,18939.1742612538,9.84898776817899,448453,13.0135591612328,1586060,14.2767635114828,701.163194444444,6.55274066228618,7313.3,8.89744988726558,235,5.45958551414416,NA,NA,11,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,0
Basilicata,2013,ITF5,577550,13.2665502977168,10073.1105,57.3358149898187,4.04892547191473,11167.9,9.32079887080734,19336.6808068565,9.86975913105478,425993,12.9621781931916,1505987,14.2249590551666,695.059523809524,6.5439974876665,7258.6,8.88994225175774,209,5.34233425196481,NA,NA,10.5,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,0
Basilicata,2014,ITF5,575814,13.2635399708625,10073.1105,57.1634749762747,4.04591514506045,11009.5,9.30651381542484,19119.8894087327,9.85848440252657,439047,12.9923617478301,1513785,14.2301236949694,725.6179273229,6.58702360539056,7319.2,8.89825631136533,237,5.46806014113513,NA,NA,12.1,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,0
Basilicata,2015,ITF5,573236,13.2590527782675,10073.1105,56.9075460851938,4.04142795246544,11997.1,9.39242023289738,20928.7274351227,9.94887801259411,451507,13.020346155595,1521335,14.2350987968256,727.313840173246,6.58935807650404,7552.7,8.92966039420779,242,5.48893772615669,NA,NA,12.2,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,0
Basilicata,2016,ITF5,569887,13.2531933745434,10073.1105,56.575076784872,4.03556854874134,12391.1,9.42473375195759,21743.0824005461,9.98705093537842,417797,12.9427509476097,1452154,14.1885585293489,725.213293650794,6.58646580972591,7507.7,8.92368443952929,250,5.52146091786225,100.6,4.61115225766564,11.8,0.33222177617324,2349.56666666667,1,-1.06447950991359,-1.45383223112794,1.38935272121435,0
